index,lon,lat,localtime(hr),H-parameter (from Hayne)
1397,55.629524,-7.241592,15.9833,0.071289003
1398,55.390453,-7.1991405,15.9667,0.077601999
1399,55.150955,-7.156485,15.95,0.074634001
1400,54.910828,-7.1135893,15.9333,0.063394003
1401,54.670288,-7.070493,15.9167,0.073063001
1402,54.42912,-7.0271564,15.9,0.067567997
1403,54.187412,-6.983596,15.8833,0.069340996
1404,53.945232,-6.939823,15.8667,0.068382002
1405,53.702393,-6.8958044,15.85,0.069854997
1406,53.459015,-6.8515615,15.8333,0.070969
1407,53.215054,-6.807086,15.8167,0.070609003
1408,52.970337,-6.7623463,15.8,0.069048002
1409,52.725193,-6.7174025,15.7833,0.073817
1410,52.47948,-6.6722283,15.7667,0.075612001
1411,52.233025,-6.6267924,15.75,0.073459998
1412,51.98602,-6.5811286,15.7333,0.071960002
1413,51.738323,-6.5352125,15.7167,0.049894001
1414,51.489902,-6.489037,15.7,0.069991
1415,51.24092,-6.4426317,15.6833,0.072656997
1416,50.991165,-6.3959575,15.6667,0.065507002
1417,50.740765,-6.3490376,15.65,0.069367997
1418,50.4897,-6.3018694,15.6333,0.075612999
1419,50.237812,-6.254422,15.6167,0.074348003
1420,49.985344,-6.2067413,15.6,0.074750997
1421,49.732197,-6.158809,15.5833,0.066003002
1422,49.478043,-6.1105623,15.5667,0.065135002
1423,49.223293,-6.062079,15.55,0.057050001
1424,48.96776,-6.0133233,15.5333,0.064042002
1425,48.711475,-5.9643016,15.5167,0.063112997
1426,48.45434,-5.9149957,15.5,0.066454999
1427,48.196384,-5.865408,15.4833,0.064245999
1428,47.937607,-5.815541,15.4667,0.067410998
1429,47.677937,-5.765379,15.45,0.075921997
1430,47.41748,-5.714945,15.4333,0.059689999
1431,47.15615,-5.664219,15.4167,0.061184
1432,46.893818,-5.6131773,15.4,0.059114002
1433,46.630733,-5.5618687,15.3833,0.063231997
1434,46.36667,-5.5102487,15.3667,0.062700003
1435,46.101593,-5.458309,15.3333,0.069732003
1436,45.83578,-5.4061065,15.3167,0.064712003
1437,45.568783,-5.3535504,15.3,0.088687003
1438,45.300907,-5.300702,15.2833,0.071103998
1439,45.03193,-5.2475166,15.2667,0.068823002
1440,44.761932,-5.1940107,15.25,0.067241997
1441,44.491055,-5.140212,15.2333,0.072411001
1442,44.219,-5.086061,15.2167,0.066074997
1443,43.945744,-5.031552,15.2,0.062610999
1444,43.671604,-4.9767504,15.1833,0.073959999
1445,43.396275,-4.9215927,15.1667,0.068322003
1446,43.119648,-4.866058,15.15,0.072359003
1447,42.842,-4.8102016,15.1167,0.073752999
1448,42.563046,-4.753966,15.1,0.067631997
1449,42.28298,-4.6973915,15.0833,0.073771
1450,42.001724,-4.6404595,15.0667,0.060911
1451,41.719013,-4.583118,15.05,0.065086
1452,41.435165,-4.5254316,15.0333,0.064318001
1453,41.149975,-4.467358,15.0167,0.067111
1454,40.86339,-4.408887,15,0.068924002
1455,40.575542,-4.350044,14.9667,0.060355
1456,40.28608,-4.290758,14.95,0.067625001
1457,39.995354,-4.231101,14.9333,0.067865998
1458,39.70307,-4.171013,14.9167,0.066661
1459,39.40932,-4.110511,14.9,0.078899004
1460,39.11403,-4.0495815,14.8833,0.057323001
1461,38.817272,-3.9882386,14.85,0.048618998
1462,38.518696,-3.9264092,14.8333,0.072727002
1463,38.21873,-3.8641837,14.8167,0.061765
1464,37.91685,-3.8014524,14.8,0.064535998
1465,37.613506,-3.7383087,14.7833,0.068988003
1466,37.30825,-3.6746593,14.75,0.071566001
1467,37.001205,-3.6105301,14.7333,0.068662003
1468,36.692413,-3.5459304,14.7167,0.093032002
1469,36.38175,-3.4808338,14.7,0.077161998
1470,36.069027,-3.4152012,14.6667,0.081648998
1471,35.75442,-3.3490694,14.65,0.065776996
1472,35.437595,-3.2823684,14.6333,0.063011996
1473,35.11899,-3.2151904,14.6167,0.069799997
1474,34.798195,-3.1474488,14.5833,0.067001
1475,34.475075,-3.0791163,14.5667,0.068483002
1476,34.149853,-3.0102408,14.55,0.064901002
1477,33.82212,-2.9407346,14.5167,0.055137001
1478,33.491997,-2.870624,14.5,0.067341998
1479,33.159695,-2.7999547,14.4833,0.066845
1480,32.824585,-2.7285924,14.45,0.067238003
1481,32.487247,-2.6566627,14.4333,0.062716
1482,32.146957,-2.5840106,14.4167,0.069238
1483,31.804008,-2.510699,14.3833,0.070906997
1484,31.458368,-2.4367228,14.3667,0.066423997
1485,31.109724,-2.3620143,14.35,0.064175002
1486,30.758009,-2.2865615,14.3167,0.065250002
1487,30.403343,-2.2103896,14.3,0.062374
1488,30.045414,-2.1334336,14.2667,0.069917999
1489,29.684105,-2.0556684,14.25,0.076107003
1490,29.319506,-1.9771153,14.2167,0.069155
1491,28.9513,-1.8977064,14.2,0.065783001
1492,28.579506,-1.8174478,14.1667,0.068558998
1493,28.203875,-1.7362869,14.15,0.068568997
1494,27.824234,-1.6541879,14.1167,0.065036997
1495,27.440752,-1.571189,14.1,0.067051999
1496,27.05278,-1.4871515,14.0667,0.068575002
1497,26.660664,-1.4021527,14.05,0.077882998
1498,26.263971,-1.3161006,14.0167,0.071396999
1499,25.86228,-1.2289066,14,0.070639998
1500,25.455763,-1.1406105,13.9667,0.063928001
1501,25.044151,-1.0511568,13.9333,0.075309001
1502,24.627071,-0.96046776,13.9167,0.069369003
1503,24.204254,-0.86848813,13.8833,0.069778003
1504,23.775599,-0.7751994,13.85,0.009569
1505,23.340786,-0.68053705,13.8167,0.067263998
1506,22.899536,-0.584444,13.8,0.072287001
1507,22.451193,-0.48678297,13.7667,0.071700998
1508,21.995798,-0.38756877,13.7333,0.074546002
1509,21.532804,-0.28668758,13.7,0.065031998
1510,21.061714,-0.18403824,13.6667,0.070481002
1511,20.582176,-0.07955212,13.6333,0.077382997
1512,20.093498,0.026913716,13.6,0.053378001
1513,19.595314,0.13542932,13.5667,0.064763002
1514,19.08705,0.24610917,13.5333,0.075309001
1515,18.567291,0.3592495,13.5,0.073408999
1516,18.036236,0.474794,13.4667,0.069519997
1517,17.492588,0.5930094,13.4333,0.070978001
1518,16.934917,0.7141897,13.4,0.071707003
1519,16.36266,0.83843774,13.3667,0.070905998
1520,15.773882,0.9661509,13.3167,0.063986003
1521,15.168063,1.0974158,13.2833,0.073879004
1522,14.542497,1.2327889,13.2333,0.068115003
1523,13.895318,1.372638,13.2,0.063101999
1524,13.22451,1.5173571,13.15,0.054412
1525,12.526594,1.6676463,13.1,0.065677002
1526,11.797277,1.8243684,13.05,0.065016001
1527,11.033447,1.988117,13,0.066192001
1528,10.2280655,2.1603067,12.95,0.064833999
1529,9.374225,2.342294,12.9,0.067093998
1530,8.4613905,2.5361652,12.8333,0.071037002
1531,7.474248,2.7449567,12.7667,0.074198999
1532,6.392028,2.9727516,12.7,0.056566
1533,5.1796985,3.2264545,12.6167,0.068154998
1534,3.7716594,3.5189974,12.5167,0.073932
1535,2.0293596,3.8775723,12.4,0.072141998
1536,-0.57629776,4.4060616,12.2333,0.068677001
